name,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A
HCN+,544.1561262140372,544.1561262140372,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0649998097081506
HCO,360.0,360.0,C-H,1,literature,0.0,True,1.0,3.0,
HCO+,587.0208,587.0208,C-H,0,literature,0.0,True,1.0,3.0,
HCP,558.4070609264766,558.4070609264766,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.061288930837939
HCP+,575.5874321830651,575.5874321830651,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0658846354158216
HCS,206.2704,206.2704,C-H,1,literature,0.0,False,1.0,3.0,
HCS+,206.2704,206.2704,C-H,1,literature,0.0,False,1.0,3.0,
HNC,459.824,459.824,N-H,0,literature,0.0,False,1.0,2.0,
HNC+,517.0,517.0,N-H,0,literature,0.0,False,1.0,2.0,
HNO,328.8973469118961,328.8973469118961,N-H,1,xtb_corrected,-15.4,True,1.0,3.0,1.0188568491733843
HNO+,265.36388880858175,265.36388880858175,N-H,1,xtb_corrected,-15.4,True,1.0,3.0,1.0188568491733843
HNS+,319.4761960222094,319.4761960222094,N-H,1,xtb_corrected,-15.4,False,1.0,3.0,1.025999999411064
H2CN,140.94574209864925,140.94574209864925,C-H,2,xtb_corrected,-15.4,False,1.0,3.0,1.098585131998977
H2CO,363.5888,363.5888,C-H,2,literature,0.0,True,1.0,3.0,
H2CO+,195.91894739113212,195.91894739113212,C-H,2,xtb_corrected,-15.4,True,1.0,3.0,1.1016993026204223
H2CS,413.0,413.0,C-H,0,literature,0.0,False,1.0,3.0,
H2CS+,289.98929520403726,289.98929520403726,C-H,2,xtb_corrected,-15.4,False,1.0,3.0,1.102120420847802
H2NC+,434.32,434.32,N-H,0,literature,0.0,False,1.0,0.0,
H2NO+,446.2376673979446,446.2376673979446,N-H,0,xtb_corrected,-15.4,True,1.0,1.0,1.0189999517000694
HOOH,513.7912836080841,513.7918736695183,O-H,0,xtb_corrected,-15.4,True,1.0,1.0,0.9760738038803358
H3O+,497.8968,497.8968,O-H,0,literature,0.0,True,1.0,0.0,
HC2N,460.0,460.0,C-H,0,literature,0.0,False,1.0,2.0,
HC2O,404.5928,404.5928,C-H,0,literature,0.0,False,1.0,2.0,
HC2S+,613.3299296708723,613.3299296708723,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0641531802132869
l-C3H,413.0,413.0,C-H,0,literature,0.0,False,1.0,2.0,
HCNH+,660.0,684.5110014805201,N-H,0,literature,0.0,False,1.0,2.0,
HCNO,292.88,292.88,C-H,1,literature,0.0,False,1.0,3.0,
HCNO+,695.8248479655745,695.8248479655745,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0626861583788643
HCNS,459.10825001700005,459.10825001700005,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0640738188500265
HOCO+,708.0434915585399,708.0434915585399,O-H,0,xtb_corrected,-15.4,True,1.0,0.0,0.9778065545881741
HDCO,363.5888,363.5888,C-H,2,literature,0.0,True,1.0,3.0,
